SOUTHEAST ASIAN CLIMATE ASSESSMENT & DATASET (SACA&D), file created on 10-05-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2011. Daily dataset for climate extremes
analyses in Southeast Asia.
In preparation
Data and metadata available at http://saca-bmkg.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INDONESIA, 	STASIUN METEOROLOGI MARITIM TANJUNG PRIOK	 (STAID: 101).
Blended and updated with sources: 100001 100101 101985 101987 996741 996745 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100101,18670509,    0,    0
100101,18670510,    0,    0
100101,18670511,    0,    0
100101,18670512,    0,    0
100101,18670513,    0,    0
100101,18670514,    0,    0
100101,18670515,    0,    0
100101,18670516,    0,    0
100101,18670517,    0,    0
100101,18670518,    0,    0
100101,18670519,    0,    0
100101,18670520,    0,    0
100101,18670521,-9999,    9
100101,18670522,-9999,    9
100101,18670523,-9999,    9
100101,18670524,-9999,    9
100101,18670525,  110,    0
100101,18670526,-9999,    9
100101,18670527,    0,    0
100101,18670528,    0,    0
100101,18670529,    0,    0
100101,18670530,    0,    0
100101,18670531,    9,    0
100101,18670601,    0,    0
100101,18670602,    0,    0
100101,18670603,    0,    0
100101,18670604,   12,    0
100101,18670605,    0,    0
100101,18670606,    0,    0
100101,18670607,  134,    0
100101,18670608,    4,    0
100101,18670609,    0,    0
100101,18670610,   59,    0
100101,18670611,    0,    0
100101,18670612,    0,    0
100101,18670613,    0,    0
100101,18670614,    0,    0
100101,18670615,   21,    0
100101,18670616,    0,    0
100101,18670617,    0,    0
100101,18670618,    0,    0
100101,18670619,    0,    0
100101,18670620,   23,    0
100101,18670621,    0,    0
100101,18670622,    0,    0
100101,18670623,-9999,    9
100101,18670624,    0,    0
100101,18670625,    0,    0
100101,18670626,    0,    0
100101,18670627,    0,    0
100101,18670628,   33,    0
100101,18670629,    2,    0
100101,18670630,    0,    0
100101,18670701,    0,    0
100101,18670702,  282,    0
100101,18670703,    0,    0
100101,18670704,    5,    0
